rep,ID,timeAfterLastDose,sim_y1,censored,split,color,filter
10,5,24,47.7375,0,All,-1,0
10,6,24,54.3393,0,All,-1,0
10,7,24,93.7536,0,All,-1,0
10,8,24,77.0291,0,All,-1,0
10,9,24,29.218,0,All,-1,0
10,10,24,60.3612,0,All,-1,0
10,11,24,77.4628,0,All,-1,0
10,12,24,81.795,0,All,-1,0
10,13,24,60.1023,0,All,-1,0
10,14,24,7.05395,0,All,-1,0
10,15,24,24.6414,0,All,-1,0
11,1,24,20.025,0,All,-1,0
11,2,24,49.9479,0,All,-1,0
11,3,24,61.5914,0,All,-1,0
11,4,24,53.1101,0,All,-1,0
11,5,24,52.7574,0,All,-1,0
11,6,24,42.8773,0,All,-1,0
11,7,24,87.1264,0,All,-1,0
11,8,24,71.2987,0,All,-1,0
11,9,24,42.4404,0,All,-1,0
11,10,24,61.0215,0,All,-1,0
11,11,24,60.7074,0,All,-1,0
11,12,24,85.165,0,All,-1,0
11,13,24,46.9932,0,All,-1,0
11,14,24,10.8669,0,All,-1,0
11,15,24,24.4457,0,All,-1,0
12,1,24,18.4319,0,All,-1,0
12,2,24,48.7916,0,All,-1,0
12,3,24,55.3339,0,All,-1,0
12,4,24,56.0733,0,All,-1,0
12,5,24,64.992,0,All,-1,0
12,6,24,53.2699,0,All,-1,0
12,7,24,73.3317,0,All,-1,0
12,8,24,97.4636,0,All,-1,0
12,9,24,43.801,0,All,-1,0
12,10,24,71.9788,0,All,-1,0
12,11,24,68.7202,0,All,-1,0
12,12,24,85.2104,0,All,-1,0
12,13,24,60.1395,0,All,-1,0
12,14,24,14.724,0,All,-1,0
12,15,24,28.6584,0,All,-1,0
13,1,24,30.0029,0,All,-1,0
13,2,24,48.8705,0,All,-1,0
13,3,24,58.2637,0,All,-1,0
13,4,24,55.317,0,All,-1,0
13,5,24,66.5586,0,All,-1,0
13,6,24,44.5059,0,All,-1,0
13,7,24,71.2252,0,All,-1,0
13,8,24,98.7083,0,All,-1,0
13,9,24,37.516,0,All,-1,0
13,10,24,65.3861,0,All,-1,0
13,11,24,72.0402,0,All,-1,0
13,12,24,81.0236,0,All,-1,0
13,13,24,48.5846,0,All,-1,0
13,14,24,15.5432,0,All,-1,0
13,15,24,26.2317,0,All,-1,0
14,1,24,23.1423,0,All,-1,0
14,2,24,47.376,0,All,-1,0
14,3,24,46.348,0,All,-1,0
14,4,24,61.564,0,All,-1,0
14,5,24,70.3607,0,All,-1,0
14,6,24,53.1503,0,All,-1,0
14,7,24,67.0959,0,All,-1,0
14,8,24,51.9004,0,All,-1,0
14,9,24,43.7878,0,All,-1,0
14,10,24,52.9376,0,All,-1,0
14,11,24,56.4138,0,All,-1,0
14,12,24,101.145,0,All,-1,0
14,13,24,59.4498,0,All,-1,0
14,14,24,16.1724,0,All,-1,0
14,15,24,25.4789,0,All,-1,0
15,1,24,29.4663,0,All,-1,0
15,2,24,48.2956,0,All,-1,0
15,3,24,50.74,0,All,-1,0
15,4,24,67.9687,0,All,-1,0
15,5,24,57.7847,0,All,-1,0
15,6,24,48.3734,0,All,-1,0
15,7,24,86.5151,0,All,-1,0
15,8,24,98.191,0,All,-1,0
15,9,24,24.4213,0,All,-1,0
15,10,24,63.9878,0,All,-1,0
15,11,24,82.7233,0,All,-1,0
15,12,24,87.1805,0,All,-1,0
15,13,24,44.4892,0,All,-1,0
